"Club";"Barra";"Titulo";"Letra"
"nueva chicago";"los pibes de chicago";"y los de tigre no paran de correr";"señores soy re loco y soy hincha de chicago a donde juegue el verde y negro lo voy alentar ya no me importa el descenso ni la policía porque chicago tiene huevo y lo va demostrar y los de tigre no paran de correr y los de chaca lo vamos a matar porque chicago tiene aguante y no existe otro igual."
"nueva chicago";"los pibes de chicago";"yo de bebe";"yo de bebé me ponía mi casaca con los fierros en la cintura  iba a la cancha mis hermanos me llevaban cuando el sábado llegaba nací así como inglesia abandonada la que ya no tiene cura  voy a morir alentando a chicago porque no me cabe una poniendo el pecho siempre  de visitante o de local hacemos mucho ruido no nos pueden parar corrimos a los de velez y a los borrachos del tablón chicago sos mi vida chicago sos mi pasión"
"nueva chicago";"los pibes de chicago";"yo soy de chicago y me gusta la pasta";"yo soy de chicago y me gusta la pasta lo sigo re loco no me importa nada se para de mano con todas las hinchadas con river con boca con toda la gilada seguimos esperando a los de la pandilla se viven refugiando con los policía los putos de river no para de correr la 12 y los cuervos no lo pueden creer yo sigo tomando pala y cerveza la banda de chicago esta de la cabeza."
"nueva chicago";"los pibes de chicago";"yo te vengo a ver de pendejo a donde vos jugues";"yo te vengo a ver de pendejo a donde vos jugues re drogado voy siempre con el fazo y el alcohol vamos a volver de nuevo al nacional tigre y chaca los vamos a matar la banda de chicago siempre te va a alentar en las buenas y en las malas mucho mas"
"almagro";"la banda tricolor";"quiero que legalizen la marihuana";"quiero que legalizen la marihuana para fumarme un porro por la mañana... tomarme un vino blanco y una cervezaa para ir a ver a almagro de la cabeza..."
"almagro";"la banda tricolor";"somos todo tres de febrero";"somos todo tres de febrero somos almagro y nada mas con fiesta aunque ganes o aunque pierdas la banda siempre va a acompañar dale dale tricolor dale dale tricolor dale dale dale dale tricolor"
"almagro";"la banda tricolor";"te confiezo que me has hecho llorar";"te confiezo que me has hecho llorar y que cuando te vi mal yo te alente te confiezo que dejo todo x ver a almagro y que vallas donde vallas te seguire"
"almagro";"la banda tricolor";"yo soy de ciudadela";"yo soy de ciudadela porque tenemos huevos corrimo a los de chaca y el pincha tiene miedo yo te sigo a todas partes tricolores siempre te voy a alentar el tricolor vamo a ganar donde jugues yo voy a estar te alentare hasta el final quiero volver al nacional"
"quilmes";"indios kilmes";"alentando al cervecero porque no me cabe una";"pusimo' el pecho siempre de visitante y de local. somos indios kilmes no nos pueden parar. entramos caminando sin custodia policial. el grana y el taladro se quieren matar. hoy cervece venimo' de la cabeza xq quilmes es mi locura. es una fiesta la vagancia no se cansa y alienta descontrolada. nací así de pendejo con mi viejo alentando en la tribuna. voy a morir aguantando al cervecero porque no me cabe una."
"quilmes";"indios kilmes";"cervecero hoy hay que ganar que esta banda quiere festejar";"cervecero soy  nose lo que me pasa  cuando juega quilmes  no me importa nada  es la azul y blanca  la que me conquisto  yo daria la vida por salir campeon..."
"quilmes";"indios kilmes";"cuando juega quilmes no me importa nada";"cervecero soy no sé lo que me pasa cuando juega quilmes no me importa nada es la azul y blanca la que me conquisto yo daría la vida por salir campeon cervecero hoy hay que ganar que esta banda quiere festejar"
